Alpha Power (Lv. 1)	オヤブンパワー Lv.1	우두머리 파워 Lv.1	头目力 Lv.1	頭目力 Lv.1
Sparkling Power: Dark (Lv. 3)	かがやきパワー：あく Lv.3	반짝반짝 파워: 악 Lv.3	闪耀力：恶 Lv.3	閃耀力：惡 Lv.3
Sparkling Power: Steel (Lv. 1)	かがやきパワー：はがね Lv.1	반짝반짝 파워: 강철 Lv.1	闪耀力：钢 Lv.1	閃耀力：鋼 Lv.1
Sparkling Power: Steel (Lv. 2)	かがやきパワー：はがね Lv.2	반짝반짝 파워: 강철 Lv.2	闪耀力：钢 Lv.2	閃耀力：鋼 Lv.2
Sparkling Power: Steel (Lv. 3)	かがやきパワー：はがね Lv.3	반짝반짝 파워: 강철 Lv.3	闪耀力：钢 Lv.3	閃耀力：鋼 Lv.3
Sparkling Power: Fairy (Lv. 1)	かがやきパワー：フェアリー Lv.1	반짝반짝 파워: 페어리 Lv.1	闪耀力：妖精 Lv.1	閃耀力：妖精 Lv.1
Sparkling Power: Fairy (Lv. 2)	かがやきパワー：フェアリー Lv.2	반짝반짝 파워: 페어리 Lv.2	闪耀力：妖精 Lv.2	閃耀力：妖精 Lv.2
Sparkling Power: Fairy (Lv. 3)	かがやきパワー：フェアリー Lv.3	반짝반짝 파워: 페어리 Lv.3	闪耀力：妖精 Lv.3	閃耀力：妖精 Lv.3
Sparkling Power: All Types (Lv. 1)	かがやきパワー：ぜんぶ Lv.1	반짝반짝 파워: 모든 타입 Lv.1	闪耀力：全属性 Lv.1	閃耀力：全屬性 Lv.1
Sparkling Power: All Types (Lv. 2)	かがやきパワー：ぜんぶ Lv.2	반짝반짝 파워: 모든 타입 Lv.2	闪耀力：全属性 Lv.2	閃耀力：全屬性 Lv.2
Sparkling Power: All Types (Lv. 3)	かがやきパワー：ぜんぶ Lv.3	반짝반짝 파워: 모든 타입 Lv.3	闪耀力：全属性 Lv.3	閃耀力：全屬性 Lv.3
Attack Power (Lv. 1)	こうげきパワー Lv.1	공격 파워 Lv.1	攻击力 Lv.1	攻擊力 Lv.1
Attack Power (Lv. 2)	こうげきパワー Lv.2	공격 파워 Lv.2	攻击力 Lv.2	攻擊力 Lv.2
Attack Power (Lv. 3)	こうげきパワー Lv.3	공격 파워 Lv.3	攻击力 Lv.3	攻擊力 Lv.3
Sp. Atk Power (Lv. 1)	とくこうパワー Lv.1	특수공격 파워 Lv.1	特攻力 Lv.1	特攻力 Lv.1
Sp. Atk Power (Lv. 2)	とくこうパワー Lv.2	특수공격 파워 Lv.2	特攻力 Lv.2	特攻力 Lv.2
Sp. Atk Power (Lv. 3)	とくこうパワー Lv.3	특수공격 파워 Lv.3	特攻力 Lv.3	特攻力 Lv.3
Move Power: Normal (Lv. 1)	わざパワー：ノーマル Lv.1	기술 파워: 노말 Lv.1	招式力：一般 Lv.1	招式力：一般 Lv.1
Move Power: Normal (Lv. 2)	わざパワー：ノーマル Lv.2	기술 파워: 노말 Lv.2	招式力：一般 Lv.2	招式力：一般 Lv.2
Move Power: Normal (Lv. 3)	わざパワー：ノーマル Lv.3	기술 파워: 노말 Lv.3	招式力：一般 Lv.3	招式力：一般 Lv.3
Move Power: Fire (Lv. 1)	わざパワー：ほのお Lv.1	기술 파워: 불꽃 Lv.1	招式力：火 Lv.1	招式力：火 Lv.1
Move Power: Fire (Lv. 2)	わざパワー：ほのお Lv.2	기술 파워: 불꽃 Lv.2	招式力：火 Lv.2	招式力：火 Lv.2
Move Power: Fire (Lv. 3)	わざパワー：ほのお Lv.3	기술 파워: 불꽃 Lv.3	招式力：火 Lv.3	招式力：火 Lv.3
Move Power: Water (Lv. 1)	わざパワー：みず Lv.1	기술 파워: 물 Lv.1	招式力：水 Lv.1	招式力：水 Lv.1
Move Power: Water (Lv. 2)	わざパワー：みず Lv.2	기술 파워: 물 Lv.2	招式力：水 Lv.2	招式力：水 Lv.2
Move Power: Water (Lv. 3)	わざパワー：みず Lv.3	기술 파워: 물 Lv.3	招式力：水 Lv.3	招式力：水 Lv.3
Move Power: Electric (Lv. 1)	わざパワー：でんき Lv.1	기술 파워: 전기 Lv.1	招式力：电 Lv.1	招式力：電 Lv.1
Move Power: Electric (Lv. 2)	わざパワー：でんき Lv.2	기술 파워: 전기 Lv.2	招式力：电 Lv.2	招式力：電 Lv.2
Move Power: Electric (Lv. 3)	わざパワー：でんき Lv.3	기술 파워: 전기 Lv.3	招式力：电 Lv.3	招式力：電 Lv.3
Move Power: Grass (Lv. 1)	わざパワー：くさ Lv.1	기술 파워: 풀 Lv.1	招式力：草 Lv.1	招式力：草 Lv.1
Move Power: Grass (Lv. 2)	わざパワー：くさ Lv.2	기술 파워: 풀 Lv.2	招式力：草 Lv.2	招式力：草 Lv.2
Move Power: Grass (Lv. 3)	わざパワー：くさ Lv.3	기술 파워: 풀 Lv.3	招式力：草 Lv.3	招式力：草 Lv.3
Move Power: Ice (Lv. 1)	わざパワー：こおり Lv.1	기술 파워: 얼음 Lv.1	招式力：冰 Lv.1	招式力：冰 Lv.1
Move Power: Ice (Lv. 2)	わざパワー：こおり Lv.2	기술 파워: 얼음 Lv.2	招式力：冰 Lv.2	招式力：冰 Lv.2
Move Power: Ice (Lv. 3)	わざパワー：こおり Lv.3	기술 파워: 얼음 Lv.3	招式力：冰 Lv.3	招式力：冰 Lv.3
Move Power: Fighting (Lv. 1)	わざパワー：かくとう Lv.1	기술 파워: 격투 Lv.1	招式力：格斗 Lv.1	招式力：格鬥 Lv.1
Move Power: Fighting (Lv. 2)	わざパワー：かくとう Lv.2	기술 파워: 격투 Lv.2	招式力：格斗 Lv.2	招式力：格鬥 Lv.2
Move Power: Fighting (Lv. 3)	わざパワー：かくとう Lv.3	기술 파워: 격투 Lv.3	招式力：格斗 Lv.3	招式力：格鬥 Lv.3
Move Power: Poison (Lv. 1)	わざパワー：どく Lv.1	기술 파워: 독 Lv.1	招式力：毒 Lv.1	招式力：毒 Lv.1
Move Power: Poison (Lv. 2)	わざパワー：どく Lv.2	기술 파워: 독 Lv.2	招式力：毒 Lv.2	招式力：毒 Lv.2
Move Power: Poison (Lv. 3)	わざパワー：どく Lv.3	기술 파워: 독 Lv.3	招式力：毒 Lv.3	招式力：毒 Lv.3
Move Power: Ground (Lv. 1)	わざパワー：じめん Lv.1	기술 파워: 땅 Lv.1	招式力：地面 Lv.1	招式力：地面 Lv.1
Move Power: Ground (Lv. 2)	わざパワー：じめん Lv.2	기술 파워: 땅 Lv.2	招式力：地面 Lv.2	招式力：地面 Lv.2
Move Power: Ground (Lv. 3)	わざパワー：じめん Lv.3	기술 파워: 땅 Lv.3	招式力：地面 Lv.3	招式力：地面 Lv.3
Move Power: Flying (Lv. 1)	わざパワー：ひこう Lv.1	기술 파워: 비행 Lv.1	招式力：飞行 Lv.1	招式力：飛行 Lv.1
Move Power: Flying (Lv. 2)	わざパワー：ひこう Lv.2	기술 파워: 비행 Lv.2	招式力：飞行 Lv.2	招式力：飛行 Lv.2
Move Power: Flying (Lv. 3)	わざパワー：ひこう Lv.3	기술 파워: 비행 Lv.3	招式力：飞行 Lv.3	招式力：飛行 Lv.3
Move Power: Psychic (Lv. 1)	わざパワー：エスパー Lv.1	기술 파워: 에스퍼 Lv.1	招式力：超能力 Lv.1	招式力：超能力 Lv.1
Move Power: Psychic (Lv. 2)	わざパワー：エスパー Lv.2	기술 파워: 에스퍼 Lv.2	招式力：超能力 Lv.2	招式力：超能力 Lv.2
Move Power: Psychic (Lv. 3)	わざパワー：エスパー Lv.3	기술 파워: 에스퍼 Lv.3	招式力：超能力 Lv.3	招式力：超能力 Lv.3
Move Power: Bug (Lv. 1)	わざパワー：むし Lv.1	기술 파워: 벌레 Lv.1	招式力：虫 Lv.1	招式力：蟲 Lv.1
Move Power: Bug (Lv. 2)	わざパワー：むし Lv.2	기술 파워: 벌레 Lv.2	招式力：虫 Lv.2	招式力：蟲 Lv.2
Move Power: Bug (Lv. 3)	わざパワー：むし Lv.3	기술 파워: 벌레 Lv.3	招式力：虫 Lv.3	招式力：蟲 Lv.3
Move Power: Rock (Lv. 1)	わざパワー：いわ Lv.1	기술 파워: 바위 Lv.1	招式力：岩石 Lv.1	招式力：岩石 Lv.1
Move Power: Rock (Lv. 2)	わざパワー：いわ Lv.2	기술 파워: 바위 Lv.2	招式力：岩石 Lv.2	招式力：岩石 Lv.2
Move Power: Rock (Lv. 3)	わざパワー：いわ Lv.3	기술 파워: 바위 Lv.3	招式力：岩石 Lv.3	招式力：岩石 Lv.3
Move Power: Ghost (Lv. 1)	わざパワー：ゴースト Lv.1	기술 파워: 고스트 Lv.1	招式力：幽灵 Lv.1	招式力：幽靈 Lv.1
Move Power: Ghost (Lv. 2)	わざパワー：ゴースト Lv.2	기술 파워: 고스트 Lv.2	招式力：幽灵 Lv.2	招式力：幽靈 Lv.2
Move Power: Ghost (Lv. 3)	わざパワー：ゴースト Lv.3	기술 파워: 고스트 Lv.3	招式力：幽灵 Lv.3	招式力：幽靈 Lv.3
Move Power: Dragon (Lv. 1)	わざパワー：ドラゴン Lv.1	기술 파워: 드래곤 Lv.1	招式力：龙 Lv.1	招式力：龍 Lv.1
Move Power: Dragon (Lv. 2)	わざパワー：ドラゴン Lv.2	기술 파워: 드래곤 Lv.2	招式力：龙 Lv.2	招式力：龍 Lv.2
Move Power: Dragon (Lv. 3)	わざパワー：ドラゴン Lv.3	기술 파워: 드래곤 Lv.3	招式力：龙 Lv.3	招式力：龍 Lv.3
Move Power: Dark (Lv. 1)	わざパワー：あく Lv.1	기술 파워: 악 Lv.1	招式力：恶 Lv.1	招式力：惡 Lv.1
Move Power: Dark (Lv. 2)	わざパワー：あく Lv.2	기술 파워: 악 Lv.2	招式力：恶 Lv.2	招式力：惡 Lv.2
Move Power: Dark (Lv. 3)	わざパワー：あく Lv.3	기술 파워: 악 Lv.3	招式力：恶 Lv.3	招式力：惡 Lv.3
Move Power: Steel (Lv. 1)	わざパワー：はがね Lv.1	기술 파워: 강철 Lv.1	招式力：钢 Lv.1	招式力：鋼 Lv.1
Move Power: Steel (Lv. 2)	わざパワー：はがね Lv.2	기술 파워: 강철 Lv.2	招式力：钢 Lv.2	招式力：鋼 Lv.2
Move Power: Steel (Lv. 3)	わざパワー：はがね Lv.3	기술 파워: 강철 Lv.3	招式力：钢 Lv.3	招式力：鋼 Lv.3
Move Power: Fairy (Lv. 1)	わざパワー：フェアリー Lv.1	기술 파워: 페어리 Lv.1	招式力：妖精 Lv.1	招式力：妖精 Lv.1
Move Power: Fairy (Lv. 2)	わざパワー：フェアリー Lv.2	기술 파워: 페어리 Lv.2	招式力：妖精 Lv.2	招式力：妖精 Lv.2
Move Power: Fairy (Lv. 3)	わざパワー：フェアリー Lv.3	기술 파워: 페어리 Lv.3	招式力：妖精 Lv.3	招式力：妖精 Lv.3
Speed Power (Lv. 1)	すばやさパワー Lv.1	스피드 파워 Lv.1	速度力 Lv.1	速度力 Lv.1
Speed Power (Lv. 2)	すばやさパワー Lv.2	스피드 파워 Lv.2	速度力 Lv.2	速度力 Lv.2
Speed Power (Lv. 3)	すばやさパワー Lv.3	스피드 파워 Lv.3	速度力 Lv.3	速度力 Lv.3
Big Haul Power (Lv. 1)	どっさりパワー：Lv.1	잔뜩 파워 Lv.1	多多力：Lv.1	多多力：Lv.1
Big Haul Power (Lv. 2)	どっさりパワー：Lv.2	잔뜩 파워 Lv.2	多多力：Lv.2	多多力：Lv.2
Big Haul Power (Lv. 3)	どっさりパワー：Lv.3	잔뜩 파워 Lv.3	多多力：Lv.3	多多力：Lv.3
Item Power: Berries (Lv. 1)	どうぐパワー：きのみ Lv.1	도구 파워: 나무열매 Lv.1	道具力：树果 Lv.1	道具力：樹果 Lv.1
Item Power: Berries (Lv. 2)	どうぐパワー：きのみ Lv.2	도구 파워: 나무열매 Lv.2	道具力：树果 Lv.2	道具力：樹果 Lv.2
Item Power: Berries (Lv. 3)	どうぐパワー：きのみ Lv.3	도구 파워: 나무열매 Lv.3	道具力：树果 Lv.3	道具力：樹果 Lv.3
Item Power: Candies (Lv. 1)	どうぐパワー：アメ Lv.1	도구 파워: 사탕 Lv.1	道具力：糖果 Lv.1	道具力：糖果 Lv.1
Item Power: Candies (Lv. 2)	どうぐパワー：アメ Lv.2	도구 파워: 사탕 Lv.2	道具力：糖果 Lv.2	道具力：糖果 Lv.2
Item Power: Candies (Lv. 3)	どうぐパワー：アメ Lv.3	도구 파워: 사탕 Lv.3	道具力：糖果 Lv.3	道具力：糖果 Lv.3
Item Power: Treasure (Lv. 1)	どうぐパワー：おたから Lv.1	도구 파워: 보물 Lv.1	道具力：宝物 Lv.1	道具力：寶物 Lv.1
Item Power: Treasure (Lv. 2)	どうぐパワー：おたから Lv.2	도구 파워: 보물 Lv.2	道具力：宝物 Lv.2	道具力：寶物 Lv.2
Item Power: Treasure (Lv. 3)	どうぐパワー：おたから Lv.3	도구 파워: 보물 Lv.3	道具力：宝物 Lv.3	道具力：寶物 Lv.3
Item Power: Poké Balls (Lv. 1)	どうぐパワー：ボール Lv.1	도구 파워: 볼 Lv.1	道具力：球 Lv.1	道具力：球 Lv.1
Item Power: Poké Balls (Lv. 2)	どうぐパワー：ボール Lv.2	도구 파워: 볼 Lv.2	道具力：球 Lv.2	道具力：球 Lv.2
Item Power: Poké Balls (Lv. 3)	どうぐパワー：ボール Lv.3	도구 파워: 볼 Lv.3	道具力：球 Lv.3	道具力：球 Lv.3
Item Power: Special (Lv. 1)	どうぐパワー：とくべつ Lv.1	도구 파워: 스페셜 Lv.1	道具力：特别 Lv.1	道具力：特別 Lv.1
Item Power: Special (Lv. 2)	どうぐパワー：とくべつ Lv.2	도구 파워: 스페셜 Lv.2	道具力：特别 Lv.2	道具力：特別 Lv.2
Item Power: Special (Lv. 3)	どうぐパワー：とくべつ Lv.3	도구 파워: 스페셜 Lv.3	道具力：特别 Lv.3	道具力：特別 Lv.3
Item Power: Coins (Lv. 1)	どうぐパワー：コイン Lv.1	도구 파워: 코인 Lv.1	道具力：硬币 Lv.1	道具力：硬幣 Lv.1
Item Power: Coins (Lv. 2)	どうぐパワー：コイン Lv.2	도구 파워: 코인 Lv.2	道具力：硬币 Lv.2	道具力：硬幣 Lv.2
Item Power: Coins (Lv. 3)	どうぐパワー：コイン Lv.3	도구 파워: 코인 Lv.3	道具力：硬币 Lv.3	道具力：硬幣 Lv.3
Mega Power Charging (Lv. 1)	メガパワー：チャージ Lv.1	메가 파워: 차지 Lv.1	超级力：蓄力 Lv.1	超級力：蓄力 Lv.1
Mega Power Charging (Lv. 2)	メガパワー：チャージ Lv.2	메가 파워: 차지 Lv.2	超级力：蓄力 Lv.2	超級力：蓄力 Lv.2
Mega Power Charging (Lv. 3)	メガパワー：チャージ Lv.3	메가 파워: 차지 Lv.3	超级力：蓄力 Lv.3	超級力：蓄力 Lv.3
Mega Power Conservation (Lv. 1)	メガパワー：ながもち Lv.1	메가 파워: 오래오래 Lv.1	超级力：持久 Lv.1	超級力：持久 Lv.1
Mega Power Conservation (Lv. 2)	メガパワー：ながもち Lv.2	메가 파워: 오래오래 Lv.2	超级力：持久 Lv.2	超級力：持久 Lv.2
Mega Power Conservation (Lv. 3)	メガパワー：ながもち Lv.3	메가 파워: 오래오래 Lv.3	超级力：持久 Lv.3	超級力：持久 Lv.3
Defense Power (Lv. 1)	ぼうぎょパワー Lv.1	방어 파워 Lv.1	防御力 Lv.1	防禦力 Lv.1
Defense Power (Lv. 2)	ぼうぎょパワー Lv.2	방어 파워 Lv.2	防御力 Lv.2	防禦力 Lv.2
Defense Power (Lv. 3)	ぼうぎょパワー Lv.3	방어 파워 Lv.3	防御力 Lv.3	防禦力 Lv.3
Sp. Def Power (Lv. 1)	とくぼうパワー Lv.1	특수방어 파워 Lv.1	特防力 Lv.1	特防力 Lv.1
Sp. Def Power (Lv. 2)	とくぼうパワー Lv.2	특수방어 파워 Lv.2	特防力 Lv.2	特防力 Lv.2
Sp. Def Power (Lv. 3)	とくぼうパワー Lv.3	특수방어 파워 Lv.3	特防力 Lv.3	特防力 Lv.3
Resistance Power: Normal (Lv. 1)	めんえきパワー：ノーマル Lv.1	저항 파워: 노말 Lv.1	免疫力：一般 Lv.1	免疫力：一般 Lv.1
Resistance Power: Normal (Lv. 2)	めんえきパワー：ノーマル Lv.2	저항 파워: 노말 Lv.2	免疫力：一般 Lv.2	免疫力：一般 Lv.2
Resistance Power: Normal (Lv. 3)	めんえきパワー：ノーマル Lv.3	저항 파워: 노말 Lv.3	免疫力：一般 Lv.3	免疫力：一般 Lv.3
Resistance Power: Fire (Lv. 1)	めんえきパワー：ほのお Lv.1	저항 파워: 불꽃 Lv.1	免疫力：火 Lv.1	免疫力：火 Lv.1
Resistance Power: Fire (Lv. 2)	めんえきパワー：ほのお Lv.2	저항 파워: 불꽃 Lv.2	免疫力：火 Lv.2	免疫力：火 Lv.2
Resistance Power: Fire (Lv. 3)	めんえきパワー：ほのお Lv.3	저항 파워: 불꽃 Lv.3	免疫力：火 Lv.3	免疫力：火 Lv.3
Resistance Power: Water (Lv. 1)	めんえきパワー：みず Lv.1	저항 파워: 물 Lv.1	免疫力：水 Lv.1	免疫力：水 Lv.1
Resistance Power: Water (Lv. 2)	めんえきパワー：みず Lv.2	저항 파워: 물 Lv.2	免疫力：水 Lv.2	免疫力：水 Lv.2
Resistance Power: Water (Lv. 3)	めんえきパワー：みず Lv.3	저항 파워: 물 Lv.3	免疫力：水 Lv.3	免疫力：水 Lv.3
Resistance Power: Electric (Lv. 1)	めんえきパワー：でんき Lv.1	저항 파워: 전기 Lv.1	免疫力：电 Lv.1	免疫力：電 Lv.1
Resistance Power: Electric (Lv. 2)	めんえきパワー：でんき Lv.2	저항 파워: 전기 Lv.2	免疫力：电 Lv.2	免疫力：電 Lv.2
Resistance Power: Electric (Lv. 3)	めんえきパワー：でんき Lv.3	저항 파워: 전기 Lv.3	免疫力：电 Lv.3	免疫力：電 Lv.3
Resistance Power: Grass (Lv. 1)	めんえきパワー：くさ Lv.1	저항 파워: 풀 Lv.1	免疫力：草 Lv.1	免疫力：草 Lv.1
Resistance Power: Grass (Lv. 2)	めんえきパワー：くさ Lv.2	저항 파워: 풀 Lv.2	免疫力：草 Lv.2	免疫力：草 Lv.2
Resistance Power: Grass (Lv. 3)	めんえきパワー：くさ Lv.3	저항 파워: 풀 Lv.3	免疫力：草 Lv.3	免疫力：草 Lv.3
Resistance Power: Ice (Lv. 1)	めんえきパワー：こおり Lv.1	저항 파워: 얼음 Lv.1	免疫力：冰 Lv.1	免疫力：冰 Lv.1
Resistance Power: Ice (Lv. 2)	めんえきパワー：こおり Lv.2	저항 파워: 얼음 Lv.2	免疫力：冰 Lv.2	免疫力：冰 Lv.2
Resistance Power: Ice (Lv. 3)	めんえきパワー：こおり Lv.3	저항 파워: 얼음 Lv.3	免疫力：冰 Lv.3	免疫力：冰 Lv.3
Resistance Power: Fighting (Lv. 1)	めんえきパワー：かくとう Lv.1	저항 파워: 격투 Lv.1	免疫力：格斗 Lv.1	免疫力：格鬥 Lv.1
