名称	形态&样子	宝可梦形态	宝可梦ID	宝可梦形态ID	宝可梦编号	备注
呆壳兽	超级呆壳兽	超级呆壳兽	0050	0001	80	
大葱鸭	无	大葱鸭	0053	0000	83	2.0.0
大葱鸭	伽勒尔的样子	大葱鸭-伽勒尔的样子	0053	0001	83	2.0.0
鬼斯	无	鬼斯	005C	0000	92	
鬼斯通	无	鬼斯通	005D	0000	93	
耿鬼	无	耿鬼	005E	0000	94	
耿鬼	超级耿鬼	超级耿鬼	005E	0001	94	
大岩蛇	无	大岩蛇	005F	0000	95	
卡拉卡拉	无	卡拉卡拉	0068	0000	104	2.0.0
嘎啦嘎啦	无	嘎啦嘎啦	0069	0000	105	2.0.0
嘎啦嘎啦	阿罗拉的样子	嘎啦嘎啦-阿罗拉的样子	0069	0001	105	2.0.0
多边兽	无	多边兽	0070	0000	112	
袋兽	无	袋兽	0073	0000	115	
袋兽	超级袋兽	袋兽-超级袋兽	0073	0001	115	
海星星	无	海星星	0078	0000	120	
宝石海星	无	宝石海星	0079	0000	121	
宝石海星	超级宝石海星	超级宝石海星	0079	0001	121	2.0.0
魔墙人偶	无	魔墙人偶	007A	0000	122	2.0.0
魔墙人偶	伽勒尔的样子	魔墙人偶-伽勒尔的样子	007A	0001	122	
飞天螳螂	无	飞天螳螂	007B	0000	123	
凯罗斯	无	凯罗斯	007F	0000	127	
凯罗斯	超级凯罗斯	超级凯罗斯	007F	0001	127	
鲤鱼王	无	鲤鱼王	0081	0000	129	
暴鲤龙	无	暴鲤龙	0082	0000	130	
暴鲤龙	超级暴鲤龙	超级暴鲤龙	0082	0001	130	
伊布	无	伊布	0085	0000	133	
水伊布	无	水伊布	0086	0000	134	
雷伊布	无	雷伊布	0087	0000	135	
火伊布	无	火伊布	0088	0000	136	
化石翼龙	无	化石翼龙	008E	0000	142	
化石翼龙	超级化石翼龙	超级化石翼龙	008E	0000	142	
迷你龙	无	迷你龙	0093	0000	147	
哈克龙	无	哈克龙	0094	0000	148	
快龙	无	快龙	0095	0000	149	
快龙	超级快龙	超级快龙	0095	0001	149	
超梦	无	超梦	0096	0000	150	
超梦	超级超梦Ｘ	超级超梦Ｘ	0096	0001	150	
超梦	超级超梦Ｙ	超级超梦Ｙ	0096	0002	150	
菊草叶	无	菊草叶	0098	0000	152	
月桂叶	无	月桂叶	0099	0000	153	
大竺葵	无	大竺葵	009A	0000	154	
大竺葵	超级大竺葵	超级大竺葵	009A	0001	154	
小锯鳄	无	小锯鳄	009E	0000	158	
蓝鳄	无	蓝鳄	009F	0000	159	
大力鳄	无	大力鳄	00A0	0000	160	
大力鳄	超级大力鳄	超级大力鳄	00A0	0001	160	
圆丝蛛	无	圆丝蛛	00A7	0000	167	
阿利多斯	无	阿利多斯	00A8	0000	168	2.0.0
叉字蝠	无	叉字蝠	00A9	0000	169	
皮丘	无	皮丘	00AC	0000	172	
皮宝宝	无	皮宝宝	00AD	0000	173	2.0.0
宝宝丁	无	宝宝丁	00AE	0000	174	
咩利羊	无	咩利羊	00B3	0000	179	
茸茸羊	无	茸茸羊	00B4	0000	180	
电龙	无	电龙	00B5	0000	181	
电龙	超级电龙	超级电龙	00B5	0001	181	
太阳伊布	无	太阳伊布	00C4	0000	196	
月亮伊布	无	月亮伊布	00C5	0000	197	
呆呆王	无	呆呆王	00C7	0000	199	
呆呆王	伽勒尔的样子	呆呆王-伽勒尔的样子	00C7	0001	199	
大钢蛇	无	大钢蛇	00D0	0000	208	
大钢蛇	超级大钢蛇	超级大钢蛇	00D0	0001	208	2.0.0
千针鱼	无	千针鱼	00D3	0000	211	2.0.0
千针鱼	洗翠的样子	千针鱼-洗翠的样子	00D3	0001	211	
巨钳螳螂	无	巨钳螳螂	00D4	0000	212	
巨钳螳螂	超级巨钳螳螂	超级巨钳螳螂	00D4	0001	212	
赫拉克罗斯	无	赫拉克罗斯	00D6	0000	214	
赫拉克罗斯	超级赫拉克罗斯	超级赫拉克罗斯	00D6	0001	214	
信使鸟	无	信使鸟	00E1	0000	225	
盔甲鸟	无	盔甲鸟	00E3	0000	227	
盔甲鸟	超级盔甲鸟	超级盔甲鸟	00E3	0001	227	
戴鲁比	无	戴鲁比	00E4	0000	228	
黑鲁加	无	黑鲁加	00E5	0000	229	
黑鲁加	超级黑鲁加	超级黑鲁加	00E5	0001	229	2.0.0
多边兽２型	无	多边兽２型	00E9	0000	233	
幼基拉斯	无	幼基拉斯	00F6	0000	246	
沙基拉斯	无	沙基拉斯	00F7	0000	247	
班基拉斯	无	班基拉斯	00F8	0000	248	
班基拉斯	超级班基拉斯	超级班基拉斯	00F8	0001	248	2.0.0
木守宫	无	木守宫	00FC	0000	252	2.0.0
森林蜥蜴	无	森林蜥蜴	00FD	0000	253	2.0.0
蜥蜴王	无	蜥蜴王	00FE	0000	254	2.0.0
蜥蜴王	超级蜥蜴王	超级蜥蜴王	00FE	0001	254	2.0.0
火稚鸡	无	火稚鸡	00FF	0000	255	2.0.0
力壮鸡	无	力壮鸡	0100	0000	256	2.0.0
火焰鸡	无	火焰鸡	0101	0000	257	2.0.0
火焰鸡	超级火焰鸡	超级火焰鸡	0101	0001	257	2.0.0
水跃鱼	无	水跃鱼	0102	0000	258	2.0.0
沼跃鱼	无	沼跃鱼	0103	0000	259	2.0.0
巨沼怪	无	巨沼怪	0104	0000	260	2.0.0
巨沼怪	超级巨沼怪	超级巨沼怪	0104	0001	260	
拉鲁拉丝	无	拉鲁拉丝	0118	0000	280	
奇鲁莉安	无	奇鲁莉安	0119	0000	281	
沙奈朵	无	沙奈朵	011A	0000	282	
沙奈朵	超级沙奈朵	超级沙奈朵	011A	0001	282	
勾魂眼	无	勾魂眼	012E	0000	302	
勾魂眼	超级勾魂眼	超级勾魂眼	012E	0001	302	
大嘴娃	无	大嘴娃	012F	0000	303	
大嘴娃	超级大嘴娃	超级大嘴娃	012F	0001	303	
可可多拉	无	可可多拉	0130	0000	304	
可多拉	无	可多拉	0131	0000	305	
波士可多拉	无	波士可多拉	0132	0000	306	
波士可多拉	超级波士可多拉	超级波士可多拉	0132	0001	306	
玛沙那	无	玛沙那	0133	0000	307	
恰雷姆	无	恰雷姆	0134	0000	308	
恰雷姆	超级恰雷姆	超级恰雷姆	0134	0001	308	
落雷兽	无	落雷兽	0135	0000	309	
雷电兽	无	雷电兽	0136	0000	310	
雷电兽	超级雷电兽	超级雷电兽	0136	0001	310	
毒蔷薇	无	毒蔷薇	013B	0000	315	2.0.0
溶食兽	无	溶食兽	013C	0000	316	2.0.0
吞食兽	无	吞食兽	013D	0000	317	
利牙鱼	无	利牙鱼	013E	0000	318	
巨牙鲨	无	巨牙鲨	013F	0000	319	
巨牙鲨	超级巨牙鲨	超级巨牙鲨	013F	0001	319	
呆火驼	无	呆火驼	0142	0000	322	
喷火驼	无	喷火驼	0143	0000	323	
喷火驼	超级喷火驼	超级喷火驼	0143	0001	323	2.0.0
跳跳猪	无	跳跳猪	0145	0000	325	2.0.0
噗噗猪	无	噗噗猪	0146	0000	326	
青绵鸟	无	青绵鸟	014D	0000	333	
七夕青鸟	无	七夕青鸟	014E	0000	334	
七夕青鸟	超级七夕青鸟	超级七夕青鸟	014E	0001	334	2.0.0
猫鼬斩	无	猫鼬斩	014F	0000	335	2.0.0
饭匙蛇	无	饭匙蛇	0150	0000	336	2.0.0
丑丑鱼	无	丑丑鱼	015D	0000	349	2.0.0
美纳斯	无	美纳斯	015E	0000	350	2.0.0
变隐龙	无	变隐龙	0160	0000	352	
怨影娃娃	无	怨影娃娃	0161	0000	353	
诅咒娃娃	无	诅咒娃娃	0162	0000	354	
诅咒娃娃	超级诅咒娃娃	超级诅咒娃娃	0162	0001	354	2.0.0
风铃铃	无	风铃铃	0166	0000	358	2.0.0
风铃铃	超级风铃铃	超级风铃铃	0166	0000	358	
阿勃梭鲁	无	阿勃梭鲁	0167	0000	359	
阿勃梭鲁	超级阿勃梭鲁	超级阿勃梭鲁	0167	0001	359	2.0.0
阿勃梭鲁	超级阿勃梭鲁Ｚ	超级阿勃梭鲁Ｚ	0167	0002	359	
雪童子	无	雪童子	0169	0000	361	
冰鬼护	无	冰鬼护	016A	0000	362	
冰鬼护	超级冰鬼护	超级冰鬼护	016A	0001	362	
宝贝龙	无	宝贝龙	0173	0000	371	
甲壳龙	无	甲壳龙	0174	0000	372	
暴飞龙	无	暴飞龙	0175	0000	373	
暴飞龙	超级暴飞龙	超级暴飞龙	0175	0001	373	
铁哑铃	无	铁哑铃	0176	0000	374	
金属怪	无	金属怪	0177	0000	375	
巨金怪	无	巨金怪	0178	0000	376	
巨金怪	超级巨金怪	超级巨金怪	0178	0001	376	
拉帝亚斯	无	拉帝亚斯	017C	0000	380	2.0.0
拉帝亚斯	超级拉帝亚斯	超级拉帝亚斯	017C	0001	380	2.0.0
拉帝欧斯	无	拉帝欧斯	017D	0000	381	2.0.0
拉帝欧斯	超级拉帝欧斯	超级拉帝欧斯	017D	0001	381	2.0.0
盖欧卡	无	盖欧卡	017E	0000	382	2.0.0
盖欧卡	起源形态	盖欧卡起源形态	017E	0001	382	2.0.0
固拉多	无	固拉多	017F	0000	383	2.0.0
固拉多	起源形态	固拉多起源形态	017F	0001	383	2.0.0
烈空坐	无	烈空坐	0180	0000	384	2.0.0
烈空坐	超级烈空坐	超级烈空坐	0180	0001	384	2.0.0
姆克儿	无	姆克儿	018C	0000	396	2.0.0
姆克鸟	无	姆克鸟	018D	0000	397	2.0.0
姆克鹰	无	姆克鹰	018E	0000	398	2.0.0
姆克鹰	超级姆克鹰	超级姆克鹰	018E	0001	398	2.0.0
含羞苞	无	含羞苞	0196	0000	406	
罗丝雷朵	无	罗丝雷朵	0197	0000	407	
卷卷耳	无	卷卷耳	01AB	0000	427	
长耳兔	无	长耳兔	01AC	0000	428	
长耳兔	超级长耳兔	超级长耳兔	01AC	0001	428	
铃铛响	无	铃铛响	01B1	0000	433	2.0.0
魔尼尼	无	魔尼尼	01B7	0000	439	2.0.0
圆陆鲨	无	圆陆鲨	01BB	0000	443	
尖牙陆鲨	无	尖牙陆鲨	01BC	0000	444	
烈咬陆鲨	无	烈咬陆鲨	01BD	0000	445	
烈咬陆鲨	超级烈咬陆鲨	超级烈咬陆鲨	01BD	0001	445	
烈咬陆鲨	超级烈咬陆鲨Ｚ	超级烈咬陆鲨Ｚ	01BD	0002	445	2.0.0
利欧路	无	利欧路	01BF	0000	447	
路卡利欧	无	路卡利欧	01C0	0000	448	
路卡利欧	超级路卡利欧	超级路卡利欧	01C0	0001	448	
路卡利欧	超级路卡利欧Ｚ	超级路卡利欧Ｚ	01C0	0002	448	2.0.0
沙河马	无	沙河马	01C1	0000	449	
河马兽	无	河马兽	01C2	0000	450	
雪笠怪	无	雪笠怪	01CB	0000	459	
暴雪王	无	暴雪王	01CC	0000	460	
暴雪王	超级暴雪王	超级暴雪王	01CC	0001	460	
叶伊布	无	叶伊布	01D6	0000	470	
冰伊布	无	冰伊布	01D7	0000	471	
多边兽乙型	无	多边兽乙型	01DA	0000	474	2.0.0
艾路雷朵	无	艾路雷朵	01DB	0000	475	
艾路雷朵	超级艾路雷朵	超级艾路雷朵	01DB	0001	475	
雪妖女	无	雪妖女	01DE	0000	478	
雪妖女	超级雪妖女	超级雪妖女	01DE	0001	478	
洛托姆	无	洛托姆	01DF	0000	479	2.0.0
洛托姆	加热洛托姆	加热洛托姆	01DF	0001	479	2.0.0
洛托姆	清洗洛托姆	清洗洛托姆	01DF	0002	479	2.0.0
洛托姆	结冰洛托姆	结冰洛托姆	01DF	0003	479	2.0.0
洛托姆	旋转洛托姆	旋转洛托姆	01DF	0004	479	2.0.0
洛托姆	切割洛托姆	切割洛托姆	01DF	0005	479	2.0.0
席多蓝恩	无	席多蓝恩	01E5	0000	485	2.0.0
席多蓝恩	超级席多蓝恩	超级席多蓝恩	01E5	0001	485	2.0.0
达克莱伊	无	达克莱伊	01EB	0000	491	2.0.0
达克莱伊	超级达克莱伊	超级达克莱伊	01EB	0001	491	
暖暖猪	无	暖暖猪	01F2	0000	498	
炒炒猪	无	炒炒猪	01F3	0000	499	
炎武王	无	炎武王	01F4	0000	500	
炎武王	超级炎武王	超级炎武王	01F4	0001	500	
探探鼠	无	探探鼠	01F8	0000	504	
步哨鼠	无	步哨鼠	01F9	0000	505	
扒手猫	无	扒手猫	01FD	0000	509	2.0.0
酷豹	无	酷豹	01FE	0000	510	2.0.0
花椰猴	无	花椰猴	01FF	0000	511	
花椰猿	无	花椰猿	0200	0000	512	
爆香猴	无	爆香猴	0201	0000	513	
爆香猿	无	爆香猿	0202	0000	514	
冷水猴	无	冷水猴	0203	0000	515	
冷水猿	无	冷水猿	0204	0000	516	
食梦梦	无	食梦梦	0205	0000	517	2.0.0
梦梦蚀	无	梦梦蚀	0206	0000	518	2.0.0
螺钉地鼠	无	螺钉地鼠	0211	0000	529	
龙头地鼠	无	龙头地鼠	0212	0000	530	
龙头地鼠	超级龙头地鼠	超级龙头地鼠	0212	0001	530	
差不多娃娃	无	差不多娃娃	0213	0000	531	
差不多娃娃	超级差不多娃娃	超级差不多娃娃	0213	0001	531	
投摔鬼	无	投摔鬼	021A	0000	538	2.0.0
打击鬼	无	打击鬼	021B	0000	539	2.0.0
百足蜈蚣	无	百足蜈蚣	021F	0000	543	
车轮球	无	车轮球	0220	0000	544	
蜈蚣王	无	蜈蚣王	0221	0000	545	
蜈蚣王	超级蜈蚣王	超级蜈蚣王	0221	0001	545	
黑眼鳄	无	黑眼鳄	0227	0000	551	
混混鳄	无	混混鳄	0228	0000	552	
流氓鳄	无	流氓鳄	0229	0000	553	
滑滑小子	无	滑滑小子	022F	0000	559	
头巾混混	无	头巾混混	0230	0000	560	
头巾混混	超级头巾混混	超级头巾混混	0230	0001	560	
哭哭面具	无	哭哭面具	0232	0000	562	2.0.0
哭哭面具	伽勒尔的样子	哭哭面具-伽勒尔的样子	0232	0001	562	2.0.0
迭失棺	无	迭失棺	0233	0000	563	2.0.0
破破袋	无	破破袋	0238	0000	568	
灰尘山	无	灰尘山	0239	0000	569	
迷你冰	无	迷你冰	0246	0000	582	
多多冰	无	多多冰	0247	0000	583	
双倍多多冰	无	双倍多多冰	0248	0000	584	
电飞鼠	无	电飞鼠	024B	0000	587	
哎呀球菇	无	哎呀球菇	024E	0000	590	2.0.0
败露球菇	无	败露球菇	024F	0000	591	2.0.0
麻麻小鱼	无	麻麻小鱼	025A	0000	602	
麻麻鳗	无	麻麻鳗	025B	0000	603	
麻麻鳗鱼王	无	麻麻鳗鱼王	025C	0000	604	
麻麻鳗鱼王	超级麻麻鳗鱼王	超级麻麻鳗鱼王	025C	0001	604	
烛光灵	无	烛光灵	025F	0000	607	
灯火幽灵	无	灯火幽灵	0260	0000	608	
水晶灯火灵	无	水晶灯火灵	0261	0000	609	
水晶灯火灵	超级水晶灯火灵	超级水晶灯火灵	0261	0001	609	
几何雪花	无	几何雪花	0267	0000	615	2.0.0
泥巴鱼	无	泥巴鱼	026A	0000	618	
泥巴鱼	伽勒尔的样子	泥巴鱼-伽勒尔的样子	026A	0001	618	
泥偶小人	无	泥偶小人	026E	0000	622	2.0.0
泥偶巨人	无	泥偶巨人	026F	0000	623	2.0.0
泥偶巨人	超级泥偶巨人	超级泥偶巨人	026F	0001	623	2.0.0
勾帕路翁	无	勾帕路翁	027E	0000	638	2.0.0
代拉基翁	无	代拉基翁	027F	0000	639	2.0.0
毕力吉翁	无	毕力吉翁	0280	0000	640	2.0.0
凯路迪欧	平常的样子	凯路迪欧-平常的样子	0287	0000	647	2.0.0
凯路迪欧	觉悟的样子	凯路迪欧-觉悟的样子	0287	0001	647	2.0.0
美洛耶塔	歌声形态	美洛耶塔-歌声形态	0288	0000	648	2.0.0
美洛耶塔	舞步形态	美洛耶塔-舞步形态	0288	0001	648	2.0.0
盖诺赛克特	无	盖诺赛克特	0289	0000	649	2.0.0
盖诺赛克特	水流卡带	盖诺赛克特-水流卡带	0289	0001	649	2.0.0
盖诺赛克特	闪电卡带	盖诺赛克特-闪电卡带	0289	0002	649	2.0.0
盖诺赛克特	火焰卡带	盖诺赛克特-火焰卡带	0289	0003	649	2.0.0
盖诺赛克特	冰冻卡带	盖诺赛克特-冰冻卡带	0289	0004	649	2.0.0
哈力栗	无	哈力栗	028A	0000	650	
胖胖哈力	无	胖胖哈力	028B	0000	651	
布里卡隆	无	布里卡隆	028C	0000	652	
布里卡隆	超级布里卡隆	超级布里卡隆	028C	0001	652	
火狐狸	无	火狐狸	028D	0000	653	
长尾火狐	无	长尾火狐	028E	0000	654	
妖火红狐	无	妖火红狐	028F	0000	655	
妖火红狐	超级妖火红狐	超级妖火红狐	028F	0001	655	
呱呱泡蛙	无	呱呱泡蛙	0290	0000	656	
呱头蛙	无	呱头蛙	0291	0000	657	
甲贺忍蛙	无	甲贺忍蛙	0292	0000	658	
甲贺忍蛙	超级甲贺忍蛙	超级甲贺忍蛙	0292	0003	658	
掘掘兔	无	掘掘兔	0293	0000	659	
掘地兔	无	掘地兔	0294	0000	660	
小箭雀	无	小箭雀	0295	0000	661	
火箭雀	无	火箭雀	0296	0000	662	
烈箭鹰	无	烈箭鹰	0297	0000	663	
粉蝶虫	无	粉蝶虫	0298	0000	664	
粉蝶蛹	无	粉蝶蛹	0299	0000	665	
彩粉蝶	冰雪花纹	彩粉蝶-冰雪花纹	029A	0000	666	
彩粉蝶	雪国花纹	彩粉蝶-雪国花纹	029A	0001	666	
彩粉蝶	雪原花纹	彩粉蝶-雪原花纹	029A	0002	666	
彩粉蝶	大陆花纹	彩粉蝶-大陆花纹	029A	0003	666	
彩粉蝶	庭园花纹	彩粉蝶-庭园花纹	029A	0004	666	
彩粉蝶	高雅花纹	彩粉蝶-高雅花纹	029A	0005	666	
彩粉蝶	花园花纹	彩粉蝶-花园花纹	029A	0006	666	
彩粉蝶	摩登花纹	彩粉蝶-摩登花纹	029A	0007	666	
彩粉蝶	大海花纹	彩粉蝶-大海花纹	029A	0008	666	
彩粉蝶	群岛花纹	彩粉蝶-群岛花纹	029A	0009	666	
彩粉蝶	荒野花纹	彩粉蝶-荒野花纹	029A	000A	666	
彩粉蝶	沙尘花纹	彩粉蝶-沙尘花纹	029A	000B	666	
彩粉蝶	大河花纹	彩粉蝶-大河花纹	029A	000C	666	
彩粉蝶	骤雨花纹	彩粉蝶-骤雨花纹	029A	000D	666	
彩粉蝶	热带草原花纹	彩粉蝶-热带草原花纹	029A	000E	666	
彩粉蝶	太阳花纹	彩粉蝶-太阳花纹	029A	000F	666	
彩粉蝶	大洋花纹	彩粉蝶-大洋花纹	029A	0010	666	
彩粉蝶	热带雨林花纹	彩粉蝶-热带雨林花纹	029A	0011	666	
彩粉蝶	幻彩花纹	彩粉蝶-幻彩花纹	029A	0012	666	
彩粉蝶	球球花纹	彩粉蝶-球球花纹	029A	0013	666	
小狮狮	无	小狮狮	029B	0000	667	
火炎狮	无	火炎狮	029C	0000	668	
火炎狮	超级火炎狮	超级火炎狮	029C	0001	668	
花蓓蓓	红花	花蓓蓓-红花	029D	0000	669	
花蓓蓓	黄花	花蓓蓓-黄花	029D	0001	669	
花蓓蓓	橙花	花蓓蓓-橙花	029D	0002	669	
花蓓蓓	蓝花	花蓓蓓-蓝花	029D	0003	669	
花蓓蓓	白花	花蓓蓓-白花	029D	0004	669	
花叶蒂	红花	花叶蒂-红花	029E	0000	670	
花叶蒂	黄花	花叶蒂-黄花	029E	0001	670	
花叶蒂	橙花	花叶蒂-橙花	029E	0002	670	
花叶蒂	蓝花	花叶蒂-蓝花	029E	0003	670	
花叶蒂	白花	花叶蒂-白花	029E	0004	670	
花叶蒂	永恒之花	花叶蒂-永恒之花	029E	0005	670	
花叶蒂	超级花叶蒂	超级花叶蒂	029E	0006	670	
花洁夫人	红花	花洁夫人-红花	029F	0000	671	
花洁夫人	黄花	花洁夫人-黄花	029F	0001	671	
花洁夫人	橙花	花洁夫人-橙花	029F	0002	671	
花洁夫人	蓝花	花洁夫人-蓝花	029F	0003	671	
花洁夫人	白花	花洁夫人-白花	029F	0004	671	
坐骑小羊	无	坐骑小羊	02A0	0000	672	
坐骑山羊	无	坐骑山羊	02A1	0000	673	
顽皮熊猫	无	顽皮熊猫	02A2	0000	674	
霸道熊猫	无	霸道熊猫	02A3	0000	675	
多丽米亚	野生的样子	多丽米亚-野生的样子	02A4	0000	676	
多丽米亚	心形造型	多丽米亚-心形造型	02A4	0001	676	
多丽米亚	星形造型	多丽米亚-星形造型	02A4	0002	676	
多丽米亚	菱形造型	多丽米亚-菱形造型	02A4	0003	676	
多丽米亚	淑女造型	多丽米亚-淑女造型	02A4	0004	676	
多丽米亚	贵妇造型	多丽米亚-贵妇造型	02A4	0005	676	
多丽米亚	绅士造型	多丽米亚-绅士造型	02A4	0006	676	
多丽米亚	女王造型	多丽米亚-女王造型	02A4	0007	676	
多丽米亚	歌舞伎造型	多丽米亚-歌舞伎造型	02A4	0008	676	
多丽米亚	国王造型	多丽米亚-国王造型	02A4	0009	676	
妙喵	无	妙喵	02A5	0000	677	
超能妙喵	无	超能妙喵	02A6	0000	678	
超能妙喵	雌性的样子	超能妙喵-雌性的样子	02A6	0001	678	
超能妙喵	超级超能妙喵	超级超能妙喵	02A6	0002	678	2.0.0
独剑鞘	无	独剑鞘	02A7	0000	679	
双剑鞘	无	双剑鞘	02A8	0000	680	
坚盾剑怪	盾牌形态	坚盾剑怪-盾牌形态	02A9	0000	681	
坚盾剑怪	刀剑形态	坚盾剑怪-刀剑形态	02A9	0001	681	
粉香香	无	粉香香	02AA	0000	682	
芳香精	无	芳香精	02AB	0000	683	
绵绵泡芙	无	绵绵泡芙	02AC	0000	684	
胖甜妮	无	胖甜妮	02AD	0000	685	
好啦鱿	无	好啦鱿	02AE	0000	686	
乌贼王	无	乌贼王	02AF	0000	687	
乌贼王	超级乌贼王	超级乌贼王	02AF	0001	687	
龟脚脚	无	龟脚脚	02B0	0000	688	
龟足巨铠	无	龟足巨铠	02B1	0000	689	
龟足巨铠	超级龟足巨铠	超级龟足巨铠	02B1	0001	689	
垃垃藻	无	垃垃藻	02B2	0000	690	
毒藻龙	无	毒藻龙	02B3	0000	691	
毒藻龙	超级毒藻龙	超级毒藻龙	02B3	0001	691	
铁臂枪虾	无	铁臂枪虾	02B4	0000	692	
钢炮臂虾	无	钢炮臂虾	02B5	0000	693	
伞电蜥	无	伞电蜥	02B6	0000	694	
光电伞蜥	无	光电伞蜥	02B7	0000	695	
宝宝暴龙	无	宝宝暴龙	02B8	0000	696	
怪颚龙	无	怪颚龙	02B9	0000	697	
冰雪龙	无	冰雪龙	02BA	0000	698	
冰雪巨龙	无	冰雪巨龙	02BB	0000	699	
仙子伊布	无	仙子伊布	02BC	0000	700	
摔角鹰人	无	摔角鹰人	02BD	0000	701	
摔角鹰人	超级摔角鹰人	超级摔角鹰人	02BD	0001	701	
咚咚鼠	无	咚咚鼠	02BE	0000	702	
小碎钻	无	小碎钻	02BF	0000	703	
黏黏宝	无	黏黏宝	02C0	0000	704	
黏美儿	无	黏美儿	02C1	0000	705	
黏美儿	无	黏美儿-洗翠的样子	02C1	0001	705	
黏美龙	无	黏美龙	02C2	0000	706	
黏美龙	无	黏美龙-洗翠的样子	02C2	0001	706	
钥圈儿	无	钥圈儿	02C3	0000	707	
小木灵	无	小木灵	02C4	0000	708	
朽木妖	无	朽木妖	02C5	0000	709	
南瓜精	中颗种	南瓜精-中颗种	02C6	0000	710	
南瓜精	小颗种	南瓜精-小颗种	02C6	0001	710	
南瓜精	大颗种	南瓜精-大颗种	02C6	0002	710	
南瓜精	巨颗种	南瓜精-巨颗种	02C6	0003	710	
南瓜怪人	中颗种	南瓜怪人-中颗种	02C7	0000	711	
南瓜怪人	小颗种	南瓜怪人-小颗种	02C7	0001	711	
南瓜怪人	大颗种	南瓜怪人-大颗种	02C7	0002	711	
南瓜怪人	巨颗种	南瓜怪人-巨颗种	02C7	0003	711	
冰宝	无	冰宝	02C8	0000	712	
冰岩怪	无	冰岩怪	02C9	0000	713	
冰岩怪	无	冰岩怪-洗翠的样子	02C9	0000	713	
嗡蝠	无	嗡蝠	02CA	0000	714	
音波龙	无	音波龙	02CB	0000	715	
哲尔尼亚斯	无	哲尔尼亚斯	02CC	0000	716	
伊裴尔塔尔	无	伊裴尔塔尔	02CD	0000	717	
基格尔德	无	基格尔德（剧情）	02CE	0000	718	
基格尔德	１０％形态	基格尔德-１０％形态（剧情）	02CE	0001	718	
基格尔德	１０％形态（狗）	基格尔德-１０％形态	02CE	0002	718	
