Cheri Meringue Donut	クラボメレンゲ	樱子蛋白霜
Shuca Jam Donut	シュカコンフィ	腰木蜜饯
Shuca Chocolate Donut	シュカショコラ	腰木巧克力
Shuca Cream Donut	シュカクリーム	腰木奶油
Shuca Rainbow Donut	シュカミックス	腰木综合
Coba Meringue Donut	バコウメレンゲ	棱瓜蛋白霜
Coba Curry Donut	バコウカリー	棱瓜咖喱
Coba Jam Donut	バコウコンフィ	棱瓜蜜饯
Coba Chocolate Donut	バコウショコラ	棱瓜巧克力
Coba Cream Donut	バコウクリーム	棱瓜奶油
Coba Rainbow Donut	バコウミックス	棱瓜综合
Payapa Meringue Donut	ウタンメレンゲ	福禄蛋白霜
Payapa Curry Donut	ウタンカリー	福禄咖喱
Payapa Jam Donut	ウタンコンフィ	福禄蜜饯
Payapa Chocolate Donut	ウタンショコラ	福禄巧克力
Payapa Cream Donut	ウタンクリーム	福禄奶油
Payapa Rainbow Donut	ウタンミックス	福禄综合
Tanga Meringue Donut	タンガメレンゲ	扁樱蛋白霜
Tanga Curry Donut	タンガカリー	扁樱咖喱
Tanga Jam Donut	タンガコンフィ	扁樱蜜饯
Tanga Chocolate Donut	タンガショコラ	扁樱巧克力
Tanga Cream Donut	タンガクリーム	扁樱奶油
Tanga Rainbow Donut	タンガミックス	扁樱综合
Charti Meringue Donut	ヨロギメレンゲ	草蚕蛋白霜
Charti Curry Donut	ヨロギカリー	草蚕咖喱
Charti Jam Donut	ヨロギコンフィ	草蚕蜜饯
Charti Chocolate Donut	ヨロギショコラ	草蚕巧克力
Charti Cream Donut	ヨロギクリーム	草蚕奶油
Charti Rainbow Donut	ヨロギミックス	草蚕综合
Kasib Meringue Donut	カシブメレンゲ	佛柑蛋白霜
Kasib Curry Donut	カシブカリー	佛柑咖喱
Kasib Jam Donut	カシブコンフィ	佛柑蜜饯
Kasib Chocolate Donut	カシブショコラ	佛柑巧克力
Kasib Cream Donut	カシブクリーム	佛柑奶油
Kasib Rainbow Donut	カシブミックス	佛柑综合
Haban Meringue Donut	ハバンメレンゲ	莓榴蛋白霜
Haban Curry Donut	ハバンカリー	莓榴咖喱
Haban Jam Donut	ハバンコンフィ	莓榴蜜饯
Haban Chocolate Donut	ハバンショコラ	莓榴巧克力
Haban Cream Donut	ハバンクリーム	莓榴奶油
Haban Rainbow Donut	ハバンミックス	莓榴综合
Colbur Meringue Donut	ナモメレンゲ	刺耳蛋白霜
Colbur Curry Donut	ナモカリー	刺耳咖喱
Colbur Jam Donut	ナモコンフィ	刺耳蜜饯
Colbur Chocolate Donut	ナモショコラ	刺耳巧克力
Colbur Cream Donut	ナモクリーム	刺耳奶油
Colbur Rainbow Donut	ナモミックス	刺耳综合
Babiri Meringue Donut	リリバメレンゲ	霹霹蛋白霜
Babiri Curry Donut	リリバカリー	霹霹咖喱
Babiri Jam Donut	リリバコンフィ	霹霹蜜饯
Babiri Chocolate Donut	リリバショコラ	霹霹巧克力
Babiri Cream Donut	リリバクリーム	霹霹奶油
Babiri Rainbow Donut	リリバミックス	霹霹综合
Chilan Meringue Donut	ホズメレンゲ	灯浆蛋白霜
Chilan Curry Donut	ホズカリー	灯浆咖喱
Chilan Jam Donut	ホズコンフィ	灯浆蜜饯
Chilan Chocolate Donut	ホズショコラ	灯浆巧克力
Chilan Cream Donut	ホズクリーム	灯浆奶油
Chilan Rainbow Donut	ホズミックス	灯浆综合
Roseli Meringue Donut	ロゼルメレンゲ	洛玫蛋白霜
Roseli Curry Donut	ロゼルカリー	洛玫咖喱
Roseli Jam Donut	ロゼルコンフィ	洛玫蜜饯
Roseli Chocolate Donut	ロゼルショコラ	洛玫巧克力
Roseli Cream Donut	ロゼルクリーム	洛玫奶油
Roseli Rainbow Donut	ロゼルミックス	洛玫综合
Bad Dreams Cruller	ナイトメアクルーラー	梦魇螺旋甜甜圈
Omega Old-Fashioned Donut	オールドファッションオメガ	欧米伽蛋糕甜甜圈
Alpha Old-Fashioned Donut	オールドファッションアルファ	阿尔法蛋糕甜甜圈
Delta Old-Fashioned Donut	オールドファッションデルタ	德尔塔蛋糕甜甜圈
Plasma-Glazed Donut	プラズマディップ	等离子闪电甜甜圈
